Raw,Raw_Translated,Clean,Clean_Translated,Tag,,
"hahahahahhaha happiest day of may layp Nasobrahan ka ata kakaiyot sakanya Biglang magmemention sabay back out Hahahhaha tangina Walang kwenta Akala mo malakas ang loob eh Hangin lang yan sa puke mo mars
","hahahahahhaha happiest day of layp you are so overwhelmed when you suddenly go back out hahahhaha tangina worthless you think you can be brave enough air in your pussy mars mars
","hahahahahhaha happiest day of my life. Nasobrahan ka yata ng seks sa kanya. Magbabanggit ng pangalan tapos sabay back out. Hahahhaha tangina. Walang kuwenta. Akala mo malakas ang loob. Hangin lang yan sa puke mo 
","Hahahahahhaha happiest day of my life. You have sex with her. Mention a name and then back out. Hahahhaha tangina. It doesn't matter. You think you are brave. It's just air in your pussy
",1,,
Gusto ko yung chocolate bars tapos papayat ka yung silhouette 40 din lels May pattern ano Lels,I like the chocolate bars then you can slow down the silhouette 40 din lels with pattern what lels,Gusto ko yung chocolate bars tapos papayat ka. yung silhouette 40 din. May pattern ano.,I like the chocolate bars and then you are thin. The Silhouette is 40 too. There is a pattern.,0,,
Hoy ang cute mo,Hey you cute,Hoy. Ang cute mo,Hey. You're cute,0,,
Nakakatipid ako sa pagpunta ng massage spa dahil may taga massage ako dito sa bahay Courtesy of Adonese,I save on a massage spa because I have a massage here at home courtesy of adonese,Nakakatipid ako sa pagpunta sa massage spa dahil may tagamasahe ako dito sa bahay. Courtesy of Adonese,I save on going to the massage spa because I have a massage here at home. Courtesy of Adonese,0,,
Pretending we know things,Pretending we know things,Pretending we know things,Pretending we know things,0,,
dm moko untog ko ulo mo,dm moko untog ko head you,Direct message mo ako at iuuntog ko ulo mo,Direct message me and I'll shake your head,1,,
Salamat po ama,Thank you Father,Salamat po ama,Thank you Father,0,,
i lift light weights to warm up,i lift light weights to warm up,i lift light weights to warm up,i lift light weights to warm up,0,,
Oo go sa balay sa sabado,Yes go home on Saturday,Oo go tayo sa balay sa sabado,Yes let's go to the house on Saturday,0,,
kamusta dyan sa US may zesto plus ba dyan Baka pineapple juice lang meron dyan,Hello in the US with Zesto plus ba there maybe pineapple juice just there is,kamusta diyan sa US. may zesto plus ba dyan? Baka pineapple juice lang meron doon,Hello there in the US. Is there a zesto plus there? Maybe pineapple juice just there,0,,
